Time(ms),Amplitude,Cluster,Label
560,-285,1,Tachycardia
570,-291,1,Tachycardia
580,-296,1,Tachycardia
590,-299,1,Tachycardia
600,-300,1,Tachycardia
610,-299,1,Tachycardia
620,-296,1,Tachycardia
630,-291,1,Tachycardia
640,-285,1,Tachycardia
650,-277,1,Tachycardia
660,-267,1,Tachycardia
670,-255,1,Tachycardia
680,-242,1,Tachycardia
690,-228,1,Tachycardia
700,-212,1,Tachycardia
710,-194,1,Tachycardia
720,-176,1,Tachycardia
730,-156,1,Tachycardia
740,-136,1,Tachycardia
750,-114,1,Tachycardia
760,-92,1,Tachycardia
770,-70,1,Tachycardia
780,-46,1,Tachycardia
790,-23,0,Normal
800,0,0,Normal
810,23,0,Normal
820,46,0,Normal
830,70,0,Normal
840,92,0,Normal
850,114,0,Normal
860,136,0,Normal
870,156,0,Normal
880,176,0,Normal
890,194,0,Normal
900,212,0,Normal
910,228,0,Normal
920,242,0,Normal
930,255,0,Normal
940,267,0,Normal
950,277,0,Normal
960,285,0,Normal
970,291,0,Normal
980,296,0,Normal
990,299,0,Normal
1000,299,0,Normal
1010,299,0,Normal
1020,296,0,Normal
1030,291,0,Normal
1040,285,0,Normal
1050,277,0,Normal
1060,267,0,Normal
1070,255,0,Normal
1080,242,0,Normal
1090,228,0,Normal
1100,212,0,Normal
1110,194,0,Normal
1120,176,0,Normal
1130,156,0,Normal
1140,136,0,Normal
1150,114,0,Normal
1160,92,0,Normal
1170,70,0,Normal
1180,46,0,Normal
1190,23,0,Normal
1200,0,0,Normal
1210,-23,0,Normal
1220,-46,1,Tachycardia
1230,-70,1,Tachycardia
1240,-92,1,Tachycardia
1250,-114,1,Tachycardia
1260,-136,1,Tachycardia
1270,-156,1,Tachycardia
1280,-176,1,Tachycardia
1290,-194,1,Tachycardia
1300,-212,1,Tachycardia
1310,-228,1,Tachycardia
1320,-242,1,Tachycardia
1330,-255,1,Tachycardia
1340,-267,1,Tachycardia
1350,-277,1,Tachycardia
1360,-285,1,Tachycardia
1370,-291,1,Tachycardia
1380,-296,1,Tachycardia
1390,-299,1,Tachycardia
1400,-299,1,Tachycardia
1410,-299,1,Tachycardia
1420,-296,1,Tachycardia
1430,-291,1,Tachycardia
1440,-285,1,Tachycardia
1450,-277,1,Tachycardia
1460,-267,1,Tachycardia
1470,-255,1,Tachycardia
1480,-242,1,Tachycardia
1490,-228,1,Tachycardia
1500,-212,1,Tachycardia
1510,-194,1,Tachycardia
1520,-176,1,Tachycardia
1530,-156,1,Tachycardia
1540,-136,1,Tachycardia
1550,-114,1,Tachycardia
1560,-92,1,Tachycardia
1570,-70,1,Tachycardia
1580,-46,1,Tachycardia
1590,-23,0,Normal
1600,0,0,Normal
1610,23,0,Normal
1620,46,0,Normal
1630,70,0,Normal
1640,92,0,Normal
1650,114,0,Normal
1660,136,0,Normal
1670,156,0,Normal
1680,176,0,Normal
1690,194,0,Normal
1700,212,0,Normal
1710,228,0,Normal
1720,242,0,Normal
1730,255,0,Normal
1740,267,0,Normal
1750,277,0,Normal
1760,285,0,Normal
1770,291,0,Normal
1780,296,0,Normal
1790,299,0,Normal
1800,299,0,Normal
1810,299,0,Normal
1820,296,0,Normal
1830,291,0,Normal
1840,285,0,Normal
1850,277,0,Normal
1860,267,0,Normal
1870,255,0,Normal
1880,242,0,Normal
1890,228,0,Normal
1900,212,0,Normal
1910,194,0,Normal
1920,176,0,Normal
1930,156,0,Normal
1940,136,0,Normal
1950,114,0,Normal
1960,92,0,Normal
1970,70,0,Normal
1980,46,0,Normal
1990,23,0,Normal
2000,0,0,Normal
2010,-23,0,Normal
2020,-46,1,Tachycardia
2030,-70,1,Tachycardia
2040,-92,1,Tachycardia
2050,-114,1,Tachycardia
2060,-136,1,Tachycardia
2070,-156,1,Tachycardia
2080,-176,1,Tachycardia
2090,-194,1,Tachycardia
2100,-212,1,Tachycardia
2110,-228,1,Tachycardia
2120,-242,1,Tachycardia
2130,-255,1,Tachycardia
2140,-267,1,Tachycardia
2150,-277,1,Tachycardia
2160,-285,1,Tachycardia
2170,-291,1,Tachycardia
2180,-296,1,Tachycardia
2190,-299,1,Tachycardia
2200,-300,1,Tachycardia
2210,-299,1,Tachycardia
2220,-296,1,Tachycardia
2230,-291,1,Tachycardia
2240,-285,1,Tachycardia
2250,-277,1,Tachycardia
2260,-267,1,Tachycardia
2270,-255,1,Tachycardia
2280,-242,1,Tachycardia
2290,-228,1,Tachycardia
2300,-212,1,Tachycardia
2310,-194,1,Tachycardia
2320,-176,1,Tachycardia
2330,-156,1,Tachycardia
2340,-136,1,Tachycardia
2350,-114,1,Tachycardia
2360,-92,1,Tachycardia
2370,-70,1,Tachycardia
2380,-46,1,Tachycardia
2390,-23,0,Normal
2400,0,0,Normal
2410,23,0,Normal
2420,46,0,Normal
2430,70,0,Normal
2440,92,0,Normal
2450,114,0,Normal
2460,136,0,Normal
2470,156,0,Normal
2480,176,0,Normal
2490,194,0,Normal
2500,212,0,Normal
2510,228,0,Normal
2520,242,0,Normal
2530,255,0,Normal
2540,267,0,Normal
2550,277,0,Normal
2560,285,0,Normal
2570,291,0,Normal
2580,296,0,Normal
2590,299,0,Normal
2600,299,0,Normal
2610,299,0,Normal
2620,296,0,Normal
2630,291,0,Normal
2640,285,0,Normal
2650,277,0,Normal
2660,267,0,Normal
2670,255,0,Normal
2680,242,0,Normal
2690,228,0,Normal
2700,212,0,Normal
2710,194,0,Normal
2720,176,0,Normal
2730,156,0,Normal
2740,136,0,Normal
2750,114,0,Normal
2760,92,0,Normal
2770,70,0,Normal
2780,46,0,Normal
2790,23,0,Normal
2800,0,0,Normal
2810,-23,0,Normal
2820,-46,1,Tachycardia
2830,-70,1,Tachycardia
2840,-92,1,Tachycardia
2850,-114,1,Tachycardia
2860,-136,1,Tachycardia
2870,-156,1,Tachycardia
2880,-176,1,Tachycardia
2890,-194,1,Tachycardia
2900,-212,1,Tachycardia
2910,-228,1,Tachycardia
2920,-242,1,Tachycardia
2930,-255,1,Tachycardia
2940,-267,1,Tachycardia
2950,-277,1,Tachycardia
2960,-285,1,Tachycardia
2970,-291,1,Tachycardia
2980,-296,1,Tachycardia
2990,-299,1,Tachycardia
3000,-299,1,Tachycardia
3010,-299,1,Tachycardia
3020,-296,1,Tachycardia
3030,-291,1,Tachycardia
3040,-285,1,Tachycardia
3050,-277,1,Tachycardia
3060,-267,1,Tachycardia
